tx, ty, tz
1.76469, 0.0207083, 2.56043
1.76396, 0.0204932, 2.56042
1.76377, 0.0204772, 2.56043
1.7635, 0.020536, 2.56047
1.7635, 0.0205493, 2.56048
1.76346, 0.0205457, 2.56057
1.76348, 0.0205002, 2.5606
1.76351, 0.0205227, 2.56054
1.76354, 0.0205339, 2.56052
1.76355, 0.020543, 2.5605
1.76197, 0.0205594, 2.55985
1.76157, 0.020475, 2.55873
1.75999, 0.020548, 2.55743
1.75968, 0.0204961, 2.55548
1.75807, 0.0205134, 2.55288
1.75691, 0.0204808, 2.55041
1.7562, 0.0203672, 2.54818
1.75579, 0.0205191, 2.5464
1.75488, 0.0205824, 2.5419
1.75412, 0.0208347, 2.5402
1.75343, 0.0209018, 2.53708
1.75203, 0.0210966, 2.53367
1.75114, 0.021252, 2.53006
1.75097, 0.0213099, 2.52683
1.7497, 0.0214743, 2.52416
1.74719, 0.0216842, 2.52167
1.74652, 0.0217991, 2.51837
1.74627, 0.0219691, 2.51304
1.7448, 0.0225984, 2.51158
1.74197, 0.0227901, 2.5106
1.73951, 0.0230195, 2.50982
1.73867, 0.0231317, 2.50925
1.73607, 0.0233097, 2.50871
1.73154, 0.023079, 2.50846
1.72701, 0.0230551, 2.50849
1.71762, 0.0228784, 2.50893
1.7078, 0.0225502, 2.50959
1.70685, 0.022427, 2.50971
1.70638, 0.0223656, 2.5098
1.70464, 0.0219828, 2.51049
1.70429, 0.0218641, 2.51066
1.70411, 0.0217838, 2.51077
1.70396, 0.0217146, 2.51087
1.70383, 0.0216523, 2.51095
1.70371, 0.021596, 2.51103
1.70361, 0.021545, 2.5111
1.70351, 0.0214989, 2.51116
1.70342, 0.0214571, 2.51121
1.70334, 0.0214193, 2.51126
1.70327, 0.0213851, 2.51131
1.70321, 0.0213541, 2.51135
1.70315, 0.0213261, 2.51139
1.70309, 0.0213007, 2.51142
1.70305, 0.0212777, 2.51145
1.703, 0.0212569, 2.51148
1.70296, 0.0212381, 2.51151
1.70293, 0.021221, 2.51153
1.70289, 0.0212056, 2.51155
1.70286, 0.0211916, 2.51157
1.70284, 0.021179, 2.51159
1.70281, 0.0211675, 2.5116
1.70279, 0.0211572, 2.51162
1.70277, 0.0211478, 2.51163
1.70276, 0.0211393, 2.51164
1.70274, 0.0211316, 2.51165
1.70272, 0.0211247, 2.51166
1.70271, 0.0211184, 2.51167
1.7027, 0.0211127, 2.51168
1.70269, 0.0211075, 2.51168
1.70268, 0.0211029, 2.51169
1.70267, 0.0210986, 2.5117
1.70266, 0.0210948, 2.5117
1.70265, 0.0210913, 2.51171
1.70265, 0.0210882, 2.51171
1.70264, 0.0210854, 2.51171
1.70264, 0.0210828, 2.51172
1.70263, 0.0210805, 2.51172
1.70263, 0.0210784, 2.51172
1.70262, 0.0210765, 2.51173
1.70262, 0.0210747, 2.51173
1.70262, 0.0210732, 2.51173
1.70261, 0.0210718, 2.51173
1.70261, 0.0210705, 2.51173
1.70261, 0.0210693, 2.51173
1.70261, 0.0210683, 2.51174
1.7026, 0.0210673, 2.51174
1.7026, 0.0210665, 2.51174
1.7026, 0.0210657, 2.51174
1.7026, 0.021065, 2.51174
1.7026, 0.0210644, 2.51174
1.7026, 0.0210638, 2.51174
1.7026, 0.0210633, 2.51174
1.70259, 0.0210628, 2.51174
1.70259, 0.0210624, 2.51174
1.70259, 0.021062, 2.51174
1.70259, 0.0210616, 2.51175
1.70259, 0.0210613, 2.51175
1.70259, 0.021061, 2.51175
1.70259, 0.0210608, 2.51175
1.70259, 0.0210605, 2.51175
1.70259, 0.0210603, 2.51175
1.70259, 0.0210601, 2.51175
1.70259, 0.0210599, 2.51175
1.70259, 0.0210598, 2.51175
1.70259, 0.0210596, 2.51175
1.70259, 0.0210595, 2.51175
1.70259, 0.0210594, 2.51175
1.70259, 0.0210593, 2.51175
1.70259, 0.0210592, 2.51175
1.70259, 0.0210591, 2.51175
1.70259, 0.021059, 2.51175
1.70259, 0.021059, 2.51175
1.70259, 0.0210589, 2.51175
1.70259, 0.0210588, 2.51175
1.70259, 0.0210588, 2.51175
1.70259, 0.0210587, 2.51175
1.70259, 0.0210587, 2.51175
1.70259, 0.0210586, 2.51175
1.70259, 0.0210586, 2.51175
1.70259, 0.0210586, 2.51175
1.70259, 0.0210586, 2.51175
1.70259, 0.0210585, 2.51175
1.70259, 0.0210585, 2.51175
1.70259, 0.0210585, 2.51175
1.70259, 0.0210585, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210584, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
